name,roll_number,password,branch,year,section
Aditya Pakki,22BK1A0501,pass123,CSE,3rd Year,A
Bhavana Reddy,22BK1A0502,pass123,CSE,3rd Year,A
Chaitan Sanju,22BK1A0503,pass123,CSE,3rd Year,A
Divya Vani,22BK1A0504,pass123,CSE,3rd Year,A
Eswar Prasad,22BK1A0505,pass123,CSE,3rd Year,A
Faisal Khan,22BK1A0506,pass123,CSE,3rd Year,B
Ganesh Babu,22BK1A0507,pass123,CSE,3rd Year,B
Harini Rao,22BK1A0508,pass123,CSE,3rd Year,B
Ishwarya Rai,22BK1A0509,pass123,CSE,3rd Year,B
Jaya Krishna,22BK1A0510,pass123,CSE,3rd Year,B
Kalyan Ram,22BK1A0511,pass123,IT,2nd Year,C
Latha Mangesh,22BK1A0512,pass123,IT,2nd Year,C
Mahesh Babu,22BK1A0513,pass123,IT,2nd Year,C
Naveen Polisetty,22BK1A0514,pass123,IT,2nd Year,C
Ohmkar Varma,22BK1A0515,pass123,IT,2nd Year,C
Praveen Kumar,22BK1A0516,pass123,ECE,1st Year,D
Quasim Raja,22BK1A0517,pass123,ECE,1st Year,D
Rahul Dravid,22BK1A0518,pass123,ECE,1st Year,D
Suresh Raina,22BK1A0519,pass123,ECE,1st Year,D
Tarun Kumar,22BK1A0520,pass123,ECE,1st Year,D
Uday Kiran,22BK1A0521,pass123,EEE,4th Year,A
Vijay Deva,22BK1A0522,pass123,EEE,4th Year,A
Waseem Akram,22BK1A0523,pass123,EEE,4th Year,A
Xavier John,22BK1A0524,pass123,EEE,4th Year,A
Yuvraj Singh,22BK1A0525,pass123,EEE,4th Year,A
